text,sentiment
"El presidente brasileño, Jair Bolsonaro, firmó un decreto ejecutivo que establece nuevas reglas para el teletrabajo.",NEU
Nada justifica la violencia. Fomentemos valores y principios de respeto hacia las niñas y las mujeres.  DíaNaranja  emoji mandarina emoji,NEU
El presidente AMLO pide una disculpa a la gobernadora y miembros de la Junta de Gobierno por anunciar antes la decisión de política monetaria y reitera su compromiso con la autonomía de Banxico .  url,NEG
Trump demanda a Hillary Clinton y al Comité Nacional Demócrata alegando conspiración para vincular su campaña con Rusia  url,NEU
¿Robo a Perú? Uruguay consigue su boleto para el Mundial de Qatar2022  url,NEU
Mijares sorprendió al entonar el Himno Nacional en el México vs EEUU  url,POS
Momento en que un barco ruso lleno de municiones es 'golpeado' en Ucrania mientras la flota de Putin huye   url,NEU
Portugal vence a Turquía y se jugará el billete mundialista contra Macedonia.  url,NEU
"El coordinador de Morena en el Senado, Ricardo Monreal confió en que en esta cámara se apruebe la reforma eléctrica del presidente Andrés Manuel López Obrador   url",NEU
"@usuario Para acceder a una franquicia, los interesados deberán contar con una liquidez mínima de 1,500,000 de dólares, así como contar con la capacidad de abrir y operar múltiples sucursales en una zona geográfica.",NEU
"MÉXICO:   Eres amante de la pizza y quieres comenzar tu negocio, Little Caesars te está buscando para sumarte a la marca como franquiciatario y así, poder expandir la marca en todo México.",POS
"Las acciones de Grupo Financiero Banorte en la BMV se desploman 6.72% este martes hasta un precio de 150.05 pesos cada una, esto después de que el grupo emitiera un comunicado en donde confirma sus intenciones de adquirir Citibanamex en México.",NEG
"Inflación se desacelera, se ubicó en 7.29% anual en la primera mitad de marzo: INEGI",NEG
Sigue la conversación  url,NEU
Javier Aguirre regresa a España para dirigir al Mallorca  url,NEU
Netflix compartió las primeras imágenes de la temporada 4 de Stranger Things y la identidad de los nuevos villanos.   27 Mayo  url,NEU
Kate Middleton dejó a todos boquiabiertos en Jamaica con este espectacular traje Yves Saint Laurent.  url,NEU
AMLO se adelantó y anunció que Banxico subiera la tasa de fondeo en 50 pb a un 6.5 por ciento.,NEU
Rusia dice que la OTAN quiere que continúen las acciones militares.,NEU
"El acuerdo reparatorio incluye:  El pago de un radio y un teléfono celular. Hoy antes de las 15:00 horas, deberá ofrecer una disculpa a los mandos de la Policía. Sandra Cuevas deberá someterse por seis meses a tratamiento psicológico por manejo de ira.",NEU
"URGENTE:  Logra Sandra Cuevas Alcaldesa de la Cuauhtémoc, solución jurídica alterna por no contar con antecedentes penales y el poder judicial de la CDMX lo permite, lo cual no quiere decir que reconociera haber cometido los delitos.  url",NEG
Sandra Cuevas se reincorpora a sus actividades como Alcaldesa  emoji mujer tono de piel claro emoji  tras solución jurídica alterna por no contar con antecedentes penales  emoji botón de marca de verificación emoji  sin reconocimiento de haber cometido NINGÚN DELITO.  Juez prohíbe hablar 6 meses del tema emoji cara pidiendo silencio emoji   url,NEU
"El embajador ruso en México, Viktor Koronelli, celebra la posición del gobierno de Andrés Manuel López Obrador de no unirse a las sanciones que han impuesto otras naciones a Rusia debido a la guerra con Ucrania.  url",NEG
"Una escena salvaje en Irvine a primera hora de la tarde cuando un puma corría por un concurrido centro comercial antes de entrar en un edificio de oficinas. Luego, el puma fue tranquilizado por el control de animales y transportado a un veterinario local.   url",NEU
"León de montaña causa furor en California antes de ser perseguido por ""agentes de garras""  url",NEG
